State,Month,Arrival,Departure,Cancellation,Total Delay Time
California,1,71238,71238,675,364992
California,2,66633,66633,482,316802
California,3,73661,73661,12711,209925
California,4,32459,32459,14346,30202
California,5,17672,17672,966,25215
California,6,23278,23278,95,42470
Virginia,1,25850,25850,242,151204
Virginia,2,24541,24541,387,171328
Virginia,3,27140,27140,4796,88744
Virginia,4,12110,12110,4964,17899
Virginia,5,5878,5878,292,10392
Virginia,6,7697,7697,11,23889
Florida,1,53934,53934,359,276790
Florida,2,51939,51939,288,310420
Florida,3,59624,59624,9527,190685
Florida,4,26947,26947,12050,35772
Florida,5,14550,14550,1787,33305
Florida,6,20395,20395,52,42679
Oregon,1,9028,9028,105,46518
Oregon,2,8326,8326,34,44961
Oregon,3,9176,9176,1238,29509
Oregon,4,3597,3597,1196,4165
Oregon,5,2465,2465,193,4351
Oregon,6,3597,3597,69,8024
Pennsylvania,1,18695,18695,240,79206
Pennsylvania,2,17696,17696,198,103488
Pennsylvania,3,20075,20075,3152,57284
Pennsylvania,4,11423,11423,4912,14563
Pennsylvania,5,5611,5611,340,11469
Pennsylvania,6,5950,5950,17,15268
Arizona,1,18276,18276,136,81307
Arizona,2,17464,17464,70,67951
Arizona,3,20296,20296,3151,61875
Arizona,4,10841,10841,4537,12885
Arizona,5,5554,5554,310,12146
Arizona,6,7222,7222,19,16060
Rhode Island,1,1501,1501,10,7482
Rhode Island,2,1445,1445,26,5965
Rhode Island,3,1585,1585,255,4693
Rhode Island,4,951,951,423,1615
Rhode Island,5,348,348,20,568
Rhode Island,6,449,449,2,646
Maine,1,1428,1428,22,13448
Maine,2,1411,1411,44,15966
Maine,3,1619,1619,253,7224
Maine,4,816,816,377,2229
Maine,5,430,430,18,963
Maine,6,495,495,1,1204
North Carolina,1,31569,31569,205,163822
North Carolina,2,29671,29671,785,213254
North Carolina,3,32531,32531,5503,107974
North Carolina,4,19172,19172,8409,20522
North Carolina,5,11701,11701,442,21489
North Carolina,6,12519,12519,24,24750
Nevada,1,16514,16514,107,67538
Nevada,2,15256,15256,59,49735
Nevada,3,17045,17045,4704,55912
Nevada,4,8595,8595,4345,11402
Nevada,5,5375,5375,784,5309
Nevada,6,6554,6554,40,15297
New York,1,33154,33154,243,165332
New York,2,31518,31518,358,195692
New York,3,34750,34750,6230,95654
New York,4,10652,10652,5844,18842
New York,5,4034,4034,449,6131
New York,6,6506,6506,77,15711
Texas,1,65718,65718,1035,321301
Texas,2,61918,61918,430,294163
Texas,3,69182,69182,11550,223082
Texas,4,39164,39164,16901,40192
Texas,5,24314,24314,747,54820
Texas,6,27397,27397,42,79404
Kentucky,1,7250,7250,81,42175
Kentucky,2,6881,6881,53,55409
Kentucky,3,8011,8011,1255,31739
Kentucky,4,3596,3596,1539,7290
Kentucky,5,2274,2274,378,5716
Kentucky,6,2407,2407,7,7027
Washington,1,19109,19109,351,125954
Washington,2,17833,17833,98,79966
Washington,3,19271,19271,2703,66796
Washington,4,7867,7867,1922,9542
Washington,5,6483,6483,445,10913
Washington,6,9143,9143,163,15470
Puerto Rico,1,2963,2963,14,19564
Puerto Rico,2,2591,2591,2,18163
Puerto Rico,3,2904,2904,417,12604
Puerto Rico,4,891,891,302,1906
Puerto Rico,5,427,427,15,1001
Puerto Rico,6,930,930,0,3933
Utah,1,10785,10785,41,50987
Utah,2,9995,9995,26,54330
Utah,3,11331,11331,1761,43045
Utah,4,5495,5495,1247,7274
Utah,5,3846,3846,213,6151
Utah,6,4706,4706,11,18759
Missouri,1,11714,11714,417,66860
Missouri,2,10884,10884,124,61596
Missouri,3,12399,12399,1977,36561
Missouri,4,7456,7456,3417,8387
Missouri,5,3838,3838,212,8226
Missouri,6,4919,4919,10,10113
Oklahoma,1,3677,3677,52,14792
Oklahoma,2,3385,3385,52,19469
Oklahoma,3,3807,3807,541,13629
Oklahoma,4,2284,2284,964,4848
Oklahoma,5,1311,1311,74,2039
Oklahoma,6,1466,1466,3,4338
New Mexico,1,2440,2440,34,11120
New Mexico,2,2299,2299,37,11169
New Mexico,3,2671,2671,414,9467
New Mexico,4,1575,1575,724,1736
New Mexico,5,872,872,45,1447
New Mexico,6,1012,1012,4,3117
Georgia,1,34359,34359,99,137690
Georgia,2,32046,32046,132,170244
Georgia,3,36370,36370,7097,87189
Georgia,4,14374,14374,4738,29372
Georgia,5,9151,9151,376,18077
Georgia,6,11530,11530,27,25393
Louisiana,1,6944,6944,93,34917
Louisiana,2,6857,6857,60,41920
Louisiana,3,7593,7593,1281,22052
Louisiana,4,4004,4004,1901,4489
Louisiana,5,2014,2014,122,3426
Louisiana,6,2215,2215,38,7217
Hawaii,1,10870,10870,106,37363
Hawaii,2,10270,10270,87,51609
Hawaii,3,11134,11134,1258,33424
Hawaii,4,2974,2974,814,5525
Hawaii,5,2328,2328,11,2464
Hawaii,6,2996,2996,11,7285
Nebraska,1,2778,2778,41,23536
Nebraska,2,2625,2625,32,11939
Nebraska,3,2987,2987,482,12343
Nebraska,4,1628,1628,650,2902
Nebraska,5,1143,1143,83,4854
Nebraska,6,1218,1218,10,3420
Connecticut,1,2411,2411,13,9324
Connecticut,2,2371,2371,18,16872
Connecticut,3,2580,2580,436,10399
Connecticut,4,1299,1299,532,1736
Connecticut,5,683,683,36,1338
Connecticut,6,873,873,0,2675
Alabama,1,3633,3633,48,19111
Alabama,2,3479,3479,51,28342
Alabama,3,3905,3905,628,13575
Alabama,4,1944,1944,799,4124
Alabama,5,1070,1070,38,1277
Alabama,6,1109,1109,2,2321
Tennessee,1,11723,11723,111,50307
Tennessee,2,11072,11072,99,74733
Tennessee,3,12753,12753,2115,37794
Tennessee,4,6915,6915,3268,7877
Tennessee,5,3932,3932,447,3982
Tennessee,6,4866,4866,13,12135
Idaho,1,2923,2923,77,20223
Idaho,2,2689,2689,33,17262
Idaho,3,2958,2958,354,12597
Idaho,4,1270,1270,336,923
Idaho,5,968,968,68,1103
Idaho,6,1252,1252,5,4363
Massachusetts,1,12474,12474,63,66999
Massachusetts,2,11962,11962,56,81870
Massachusetts,3,13463,13463,2419,47491
Massachusetts,4,4454,4454,1872,6340
Massachusetts,5,2142,2142,104,3275
Massachusetts,6,3065,3065,19,6551
Maryland,1,8137,8137,56,34480
Maryland,2,7454,7454,55,32838
Maryland,3,8692,8692,1196,22272
Maryland,4,6033,6033,2871,4956
Maryland,5,3387,3387,221,4049
Maryland,6,4820,4820,7,15170
South Carolina,1,5271,5271,41,34562
South Carolina,2,5076,5076,85,41179
South Carolina,3,6068,6068,1016,19859
South Carolina,4,3142,3142,1455,7206
South Carolina,5,1934,1934,122,4546
South Carolina,6,2415,2415,10,9564
Ohio,1,10110,10110,101,59681
Ohio,2,9532,9532,106,75870
Ohio,3,11044,11044,1679,35829
Ohio,4,4802,4802,1969,9945
Ohio,5,2610,2610,180,6551
Ohio,6,3184,3184,6,9086
Colorado,1,26776,26776,433,144857
Colorado,2,25266,25266,392,214073
Colorado,3,28574,28574,5429,96861
Colorado,4,14630,14630,5986,17756
Colorado,5,9375,9375,378,13874
Colorado,6,11419,11419,20,32255
Iowa,1,2719,2719,97,21366
Iowa,2,2592,2592,45,15041
Iowa,3,2981,2981,443,11863
Iowa,4,1474,1474,638,3881
Iowa,5,902,902,94,3241
Iowa,6,946,946,5,3525
Michigan,1,17885,17885,263,116163
Michigan,2,16939,16939,103,149127
Michigan,3,19318,19318,2563,67100
Michigan,4,8944,8944,2502,26219
Michigan,5,5386,5386,411,14672
Michigan,6,6157,6157,54,14458
Kansas,1,1449,1449,43,9381
Kansas,2,1368,1368,14,15122
Kansas,3,1498,1498,252,5596
Kansas,4,884,884,276,1374
Kansas,5,709,709,79,2379
Kansas,6,668,668,2,2945
Indiana,1,5877,5877,69,34661
Indiana,2,5610,5610,71,46252
Indiana,3,6595,6595,901,23833
Indiana,4,3302,3302,1488,6170
Indiana,5,1809,1809,180,4961
Indiana,6,2108,2108,5,3984
Arkansas,1,2785,2785,37,16359
Arkansas,2,2679,2679,36,19367
Arkansas,3,3029,3029,482,11052
Arkansas,4,1557,1557,629,1581
Arkansas,5,902,902,68,1352
Arkansas,6,856,856,1,2744
Illinois,1,39354,39354,1478,245322
Illinois,2,37057,37057,693,244831
Illinois,3,42621,42621,8243,114470
Illinois,4,22010,22010,8888,27010
Illinois,5,12767,12767,591,21040
Illinois,6,14296,14296,39,37237
New Hampshire,1,816,816,11,1747
New Hampshire,2,859,859,18,4279
New Hampshire,3,963,963,125,3383
New Hampshire,4,691,691,259,1888
New Hampshire,5,326,326,13,567
New Hampshire,6,377,377,1,372
Wisconsin,1,5923,5923,150,46723
Wisconsin,2,5576,5576,55,42927
Wisconsin,3,6338,6338,888,24272
Wisconsin,4,3434,3434,1319,6796
Wisconsin,5,1742,1742,118,3228
Wisconsin,6,1836,1836,12,4950
Minnesota,1,13332,13332,189,103930
Minnesota,2,12396,12396,35,61877
Minnesota,3,14461,14461,2133,37938
Minnesota,4,6337,6337,1862,13575
Minnesota,5,3577,3577,288,5379
Minnesota,6,3893,3893,23,10476
New Jersey,1,13908,13908,118,87420
New Jersey,2,13104,13104,58,87499
New Jersey,3,14687,14687,2952,62765
New Jersey,4,2749,2749,1570,3187
New Jersey,5,1140,1140,58,1577
New Jersey,6,2150,2150,2,6062
North Dakota,1,1868,1868,74,25503
North Dakota,2,1782,1782,25,19709
North Dakota,3,1933,1933,235,10614
North Dakota,4,1045,1045,383,3389
North Dakota,5,712,712,111,2513
North Dakota,6,621,621,6,1410
Mississippi,1,1356,1356,26,11367
Mississippi,2,1308,1308,24,8743
Mississippi,3,1391,1391,213,4990
Mississippi,4,756,756,222,1637
Mississippi,5,540,540,62,2078
Mississippi,6,481,481,3,1364
South Dakota,1,1312,1312,61,9968
South Dakota,2,1252,1252,13,12521
South Dakota,3,1407,1407,250,7186
South Dakota,4,811,811,295,2063
South Dakota,5,675,675,107,2073
South Dakota,6,670,670,3,1828
Montana,1,2592,2592,26,15507
Montana,2,2383,2383,13,20020
Montana,3,2596,2596,350,18534
Montana,4,1157,1157,358,4211
Montana,5,983,983,88,2648
Montana,6,1183,1183,8,3563
Vermont,1,861,861,10,5960
Vermont,2,819,819,39,4815
Vermont,3,939,939,161,3825
Vermont,4,413,413,183,862
Vermont,5,245,245,7,611
Vermont,6,264,264,0,453
U.S. Pacific Trust Territories and Possessions,1,128,128,0,524
U.S. Pacific Trust Territories and Possessions,2,121,121,1,296
U.S. Pacific Trust Territories and Possessions,3,116,116,9,139
U.S. Pacific Trust Territories and Possessions,4,35,35,3,916
U.S. Pacific Trust Territories and Possessions,5,57,57,0,0
U.S. Pacific Trust Territories and Possessions,6,56,56,0,234
West Virginia,1,649,649,17,6324
West Virginia,2,622,622,20,7294
West Virginia,3,673,673,94,2180
West Virginia,4,432,432,156,1507
West Virginia,5,325,325,32,932
West Virginia,6,339,339,0,1962
Wyoming,1,1007,1007,18,11707
Wyoming,2,1000,1000,34,14481
Wyoming,3,1048,1048,187,8305
Wyoming,4,395,395,101,1486
Wyoming,5,409,409,18,3085
Wyoming,6,453,453,1,2047
U.S. Virgin Islands,1,519,519,1,3488
U.S. Virgin Islands,2,510,510,1,4300
U.S. Virgin Islands,3,545,545,77,2986
U.S. Virgin Islands,4,140,140,28,62
U.S. Virgin Islands,5,127,127,0,189
U.S. Virgin Islands,6,171,171,0,229
Alaska,1,2964,2964,77,10578
Alaska,2,2741,2741,38,9104
Alaska,3,2936,2936,190,10441
Alaska,4,1312,1312,78,3116
Alaska,5,1359,1359,20,1944
Alaska,6,2135,2135,50,3915
